combo,spearman,countries,num_countries
"['Bread', 'Wheat']",0.3893258522172834,"['Afghanistan', 'Kyrgyzstan', 'Nigeria', 'Tajikistan']",4
"['Bread', 'Milk']",-0.2272725198354466,"['Gambia', 'Guatemala', 'Tajikistan']",3
"['Bread', 'Potatoes']",0.1449658859529775,"['Guatemala', 'Kyrgyzstan', 'Tajikistan']",3
"['Bread', 'Eggs']",-0.22322301161382577,"['Gambia', 'Guatemala', 'Kyrgyzstan', 'State of Palestine', 'Tajikistan']",5
"['Bread', 'Oil (vegetable)']",0.17581928325596807,"['Congo', 'Djibouti', 'Gambia', 'Guatemala', 'Kenya', 'Tajikistan']",6
"['Bread', 'Sugar']",0.005415960499506008,"['Djibouti', 'Gambia', 'Guatemala', 'Guinea', 'Kyrgyzstan', 'State of Palestine', 'Tajikistan']",7
"['Bread', 'Meat (beef)']",0.2665638439674323,"['Congo', 'Gambia', 'Guinea', 'Kyrgyzstan', 'Tajikistan']",5
"['Bread', 'Carrots']",0.16618842692244884,"['Gambia', 'Kyrgyzstan', 'Tajikistan']",3
"['Bread', 'Onions']",-0.26482712282636905,"['Gambia', 'Guatemala', 'Kyrgyzstan', 'Tajikistan']",4
"['Bread', 'Cabbage']",-0.04851012899299895,"['Gambia', 'Kyrgyzstan', 'Tajikistan']",3
"['Bread', 'Maize']",0.11326125757960878,"['Gambia', 'Kyrgyzstan', 'Nigeria', 'Tajikistan']",4
"['Bread', 'Rice']",0.2767856300357182,"['Kyrgyzstan', 'Tajikistan']",2
"['Bread', 'Coffee']",0.37062675445454296,['Guatemala'],1
"['Bread', 'Salt']",0.2509605479367042,"['Gambia', 'Guatemala', 'Guinea', 'Kyrgyzstan', 'State of Palestine', 'Tajikistan']",6
"['Bread', 'Oil (sunflower)']",0.40919230393893713,['Kyrgyzstan'],1
"['Bread', 'Meat (chicken, frozen)']",0.20415312497885718,"['Congo', 'Tajikistan']",2
"['Bread', 'Meat (mutton)']",0.3895199746816981,"['Gambia', 'Kyrgyzstan', 'Tajikistan']",3
"['Bread', 'Rice (ordinary, second quality)']",0.18716578053741237,['Guatemala'],1
"['Bread', 'Tortilla (maize)']",0.1741733221234294,['Guatemala'],1
"['Bread', 'Tea (black)']",-0.12500997476529477,"['Kyrgyzstan', 'Tajikistan']",2
"['Bread', 'Milk (cow, pasteurized)']",0.26274069349265317,['Kenya'],1
"['Bread', 'Oil (cotton)']",0.2970619875539557,"['Kyrgyzstan', 'Tajikistan']",2
"['Bread', 'Tea (green)']",-0.040132794725578486,"['Kyrgyzstan', 'Tajikistan']",2
"['Bread', 'Wheat flour (first grade)']",0.24467947273764415,"['Kyrgyzstan', 'Tajikistan']",2
"['Bread', 'Wheat flour (high quality)']",0.2829465261822859,"['Kyrgyzstan', 'Tajikistan']",2
"['Bread', 'Wheat flour (local)']",0.3733674944889757,['Tajikistan'],1
"['Wheat', 'Rice (low quality)']",0.29127019607664256,['Afghanistan'],1
"['Wheat', 'Wheat flour']",0.38603727173280455,"['India', 'Pakistan', 'Rwanda', 'Yemen']",4
"['Wheat', 'Milk']",0.41345837820462583,"['Pakistan', 'Rwanda', 'Tajikistan']",3
"['Wheat', 'Potatoes']",0.2679898290821336,"['India', 'Kyrgyzstan', 'Tajikistan', 'Yemen']",4
"['Wheat', 'Eggs']",0.4009842588260386,"['Indonesia', 'Kyrgyzstan', 'Pakistan', 'Rwanda', 'Tajikistan', 'Yemen']",6
"['Wheat', 'Oil (vegetable)']",0.33095950942761726,"['Indonesia', 'Mauritania', 'Tajikistan', 'Yemen', 'Zimbabwe']",5
"['Wheat', 'Sugar']",0.1421541323232753,"['Ethiopia', 'Guinea-Bissau', 'India', 'Indonesia', 'Kyrgyzstan', 'Mauritania', 'Pakistan', 'Tajikistan', 'Yemen']",9
"['Wheat', 'Lentils']",0.09516023566016213,"['Ethiopia', 'India', 'Yemen']",3
"['Wheat', 'Tomatoes']",0.3826009818965512,"['India', 'Rwanda', 'Yemen']",3
"['Wheat', 'Meat (beef)']",0.3502866993758726,"['Indonesia', 'Kyrgyzstan', 'Rwanda', 'Tajikistan']",4
"['Wheat', 'Carrots']",0.3307702439210489,"['Kyrgyzstan', 'Rwanda', 'Tajikistan']",3
"['Wheat', 'Onions']",0.3130588336589071,"['India', 'Kyrgyzstan', 'Tajikistan', 'Yemen']",4
"['Wheat', 'Milk (non-pasteurized)']",0.5653524631152098,['Kyrgyzstan'],1
"['Wheat', 'Lentils (masur)']",0.05332618376710662,"['India', 'Pakistan']",2
"['Wheat', 'Oil (palm)']",-0.07908172841392017,"['Guinea-Bissau', 'India', 'Nigeria']",3
"['Wheat', 'Rice (imported)']",0.4404690205938423,"['Ethiopia', 'Guinea-Bissau', 'Mauritania', 'Nigeria', 'Yemen']",5
"['Wheat', 'Sorghum']",0.2510974158773949,"['Ethiopia', 'Guinea-Bissau', 'Nigeria', 'Rwanda', 'Sudan', 'Zimbabwe']",6
"['Wheat', 'Maize (white)']",0.35696661010238934,"['Ethiopia', 'Nigeria']",2
"['Wheat', 'Maize']",0.4396018339340881,"['Guinea-Bissau', 'Kyrgyzstan', 'Nigeria', 'Rwanda', 'Tajikistan', 'Zimbabwe']",6
"['Wheat', 'Millet']",0.3704389707552489,"['Guinea-Bissau', 'Nigeria', 'Sudan', 'Zimbabwe']",4
"['Wheat', 'Rice']",0.11571571935601112,"['India', 'Indonesia', 'Kyrgyzstan', 'Nepal', 'Rwanda', 'Tajikistan']",6
"['Wheat', 'Cassava flour']",0.42875402928634265,['Rwanda'],1
"['Wheat', 'Sweet potatoes']",-0.011937230796939341,['Rwanda'],1
"['Wheat', 'Rice (imported, Tanzanian)']",0.06914180794621838,['Rwanda'],1
"['Wheat', 'Rice (local)']",0.5658916511123302,"['Guinea-Bissau', 'Mauritania', 'Nigeria', 'Rwanda']",4
"['Wheat', 'Oil (groundnut)']",0.2107128537106037,['India'],1
"['Wheat', 'Maize flour']",0.2861350905481195,['Rwanda'],1
"['Wheat', 'Salt']",0.4262296142923694,"['Guinea-Bissau', 'Kyrgyzstan', 'Pakistan', 'Tajikistan', 'Yemen']",5
"['Wheat', 'Bananas']",0.4068345594287511,['Rwanda'],1
"['Wheat', 'Milk (pasteurized)']",-0.0037779357213285625,['India'],1
"['Wheat', 'Oil (sunflower)']",0.4413950830031899,"['India', 'Kyrgyzstan']",2
"['Wheat', 'Meat (chicken, frozen)']",0.43129263551848074,['Tajikistan'],1
"['Wheat', 'Livestock (Goat)']",0.3418275418275419,"['Ethiopia', 'Rwanda']",2
"['Wheat', 'Livestock (Sheep)']",0.25673798277299253,"['Ethiopia', 'Rwanda']",2
"['Wheat', 'Meat (mutton)']",0.3016511653890294,"['Kyrgyzstan', 'Rwanda', 'Tajikistan']",3
"['Wheat', 'Beans (dry)']",0.5531291974099335,['Rwanda'],1
"['Wheat', 'Tea (black)']",0.05389036772986157,"['India', 'Kyrgyzstan', 'Tajikistan']",3
"['Wheat', 'Oil (mustard)']",0.008352742037667818,['India'],1
"['Wheat', 'Salt (iodised)']",-0.33273576879577904,['India'],1
"['Wheat', 'Meat (chicken, broiler)']",0.2152791041213457,['Indonesia'],1
"['Wheat', 'Milk (condensed)']",0.47612813619469424,['Indonesia'],1
"['Wheat', 'Oil (cotton)']",0.22263560418084494,"['Kyrgyzstan', 'Tajikistan']",2
"['Wheat', 'Tea (green)']",-0.2500309108816678,"['Kyrgyzstan', 'Tajikistan']",2
"['Wheat', 'Wheat flour (first grade)']",0.46599084446291467,"['Kyrgyzstan', 'Tajikistan']",2
"['Wheat', 'Wheat flour (high quality)']",0.37215019564933455,"['Kyrgyzstan', 'Tajikistan']",2
"['Wheat', 'Sorghum (taghalit)']",0.4433605550919889,['Mauritania'],1
"['Wheat', 'Wheat flour (local)']",0.3617036563446373,['Tajikistan'],1
"['Wheat', 'Eggplants']",0.3129640180095188,['Rwanda'],1
"['Wheat', 'Passion fruit']",0.282770645436756,['Rwanda'],1
"['Wheat', 'Zucchini']",0.4032110654251248,['Rwanda'],1
"['Wheat', 'Avocados']",-0.4,['Rwanda'],1
"['Wheat', 'Cassava leaves']",0.40720720720720727,['Rwanda'],1
"['Rice (low quality)', 'Potatoes']",-0.5317002140953795,['Myanmar'],1
"['Rice (low quality)', 'Meat (pork)']",0.5964364547437949,['Myanmar'],1
"['Rice (low quality)', 'Oil (palm)']",0.5915172513042523,['Myanmar'],1
"['Rice (low quality)', 'Salt']",0.3317404026435489,['Myanmar'],1
"['Rice (low quality)', 'Pulses']",0.06720736479373021,['Myanmar'],1
"['Rice (low quality)', 'Chickpeas (local)']",0.4100496784636569,['Myanmar'],1
"['Wheat flour', 'Potatoes']",-0.3865916887677121,"['Armenia', 'Azerbaijan', 'Colombia', 'Egypt', 'India', 'Turkey', 'Yemen']",7
"['Wheat flour', 'Meat (chicken)']",0.5140613141852575,"['Armenia', 'Colombia', 'Democratic Republic of the Congo', 'Turkey']",4
"['Wheat flour', 'Oil (vegetable)']",0.4073040554363172,"['Armenia', 'Colombia', 'Congo', 'Democratic Republic of the Congo', 'Djibouti', 'Madagascar', 'South Sudan', 'Yemen']",8
